127.0.0.1 - - [18/Jan/2022:10:26:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:26:43 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:26:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:30:12 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:30:33 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:30:36 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:30:57 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:31:23 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:31:31 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:35:21 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:35:45 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [18/Jan/2022:10:38:10 +0900] "GET /bean/01_usebeanDemo.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:20:47 +0900] "GET /bean/03_addMemberForm.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:21:09 +0900] "POST /bean/03_addMember.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:30:00 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:30:54 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:31:56 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:32:35 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:33:54 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:36:42 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:37:06 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:39:11 +0900] "GET /bean/71_el.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:43:15 +0900] "GET /bean/71_el.jsp HTTP/1.1" 500 7748
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:45:35 +0900] "GET /bean/71_el.jsp HTTP/1.1" 500 7748
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:45:40 +0900] "GET /bean/71_el.jsp HTTP/1.1" 500 7748
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:53:50 +0900] "GET /bean/04_testLogin.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:54:09 +0900] "GET /bean/04_login.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [18/Jan/2022:11:54:13 +0900] "GET /bean/04_testLogin.jsp?id=test&pwd=1234 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:00:57 +0900] "GET /bean/05_old.jsp HTTP/1.1" 500 2644
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:01:31 +0900] "GET /bean/05_old.jsp?id=jung HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:05:06 +0900] "GET /bean/05_old.jsp HTTP/1.1" 500 2792
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:05:57 +0900] "GET /bean/05_old.jsp HTTP/1.1" 500 2792
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:06:29 +0900] "GET /bean/05_old.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:06:38 +0900] "GET /bean/05_old.jsp?id=test HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:13:57 +0900] "GET /bean/NewFile.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:14:00 +0900] "GET /bean/06_addition.jsp?num1=2&num2=3 HTTP/1.1" 500 7799
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:14:33 +0900] "GET /bean/06_addition.jsp?num1=2&num2=3 HTTP/1.1" 500 2609
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:14:49 +0900] "GET /bean/06_addition.jsp?num1=2&num2=3 HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [18/Jan/2022:12:14:59 +0900] "GET /bean/06_addition.jsp?num1=2&num2=3 HTTP/1.1" 200 160
